ID,X,Y,datetime,population,X_trans,Y_trans,type
A,715851.44751505,5505339.89910182,2016-11-01T00:00:54Z,1,725851.44751505,5455339.89910182,predator
A,715822.776234781,5505289.12700492,2016-11-01T02:01:22Z,1,725822.776234781,5455289.12700492,predator
A,715872.915382008,5505252.25541597,2016-11-01T04:01:24Z,1,725872.915382008,5455252.25541597,predator
A,715820.54958287,5505231.06233232,2016-11-01T06:01:05Z,1,725820.54958287,5455231.06233232,predator
A,715830.585415378,5505227.23129877,2016-11-01T08:01:11Z,1,725830.585415378,5455227.23129877,predator
A,715829.362068365,5505332.31674316,2016-11-01T10:01:18Z,1,725829.362068365,5455332.31674316,predator
A,715306.633674363,5505837.1555164,2016-11-01T12:00:49Z,1,725306.633674363,5455837.1555164,predator
A,715349.731931699,5505644.28594987,2016-11-01T14:01:23Z,1,725349.731931699,5455644.28594987,predator
A,715224.05322221,5505660.92321569,2016-11-01T16:00:51Z,1,725224.05322221,5455660.92321569,predator
A,714823.4291482,5505659.29872936,2016-11-01T18:01:16Z,1,724823.4291482,5455659.29872936,predator
A,715380.510541987,5505617.71795983,2016-11-01T20:00:36Z,1,725380.510541987,5455617.71795983,predator
A,715204.203254018,5505591.11731774,2016-11-01T22:00:55Z,1,725204.203254018,5455591.11731774,predator
A,715558.225598503,5505517.74177396,2016-11-02T00:00:54Z,1,725558.225598503,5455517.74177396,predator
A,715314.502642933,5505512.09112238,2016-11-02T02:01:48Z,1,725314.502642933,5455512.09112238,predator
A,715229.720545363,5505555.24810941,2016-11-02T04:01:46Z,1,725229.720545363,5455555.24810941,predator
A,715095.943055006,5505505.27995707,2016-11-02T06:00:44Z,1,725095.943055006,5455505.27995707,predator
A,715095.869832836,5505509.04542323,2016-11-02T08:00:42Z,1,725095.869832836,5455509.04542323,predator
A,715493.479350247,5505479.66242394,2016-11-02T10:01:13Z,1,725493.479350247,5455479.66242394,predator
A,715245.339731602,5505675.37622024,2016-11-02T12:01:22Z,1,725245.339731602,5455675.37622024,predator
A,715348.168601313,5505384.75441377,2016-11-02T14:00:55Z,1,725348.168601313,5455384.75441377,predator
A,715280.370942932,5505372.99715084,2016-11-02T16:00:55Z,1,725280.370942932,5455372.99715084,predator
A,715210.336849569,5505185.66715616,2016-11-02T18:00:54Z,1,725210.336849569,5455185.66715616,predator
A,714996.852719188,5505168.97808705,2016-11-02T20:01:24Z,1,724996.852719188,5455168.97808705,predator
A,714956.665409954,5505156.74735612,2016-11-02T22:01:12Z,1,724956.665409954,5455156.74735612,predator
A,714955.601387434,5505223.31099141,2016-11-03T00:01:42Z,1,724955.601387434,5455223.31099141,predator
A,714880.429380533,5505210.61699229,2016-11-03T02:00:55Z,1,724880.429380533,5455210.61699229,predator
A,715011.90793759,5505286.88089742,2016-11-03T04:00:59Z,1,725011.90793759,5455286.88089742,predator
A,714934.274796252,5505222.52716897,2016-11-03T06:02:18Z,1,724934.274796252,5455222.52716897,predator
A,714898.833008204,5505243.65137934,2016-11-03T08:00:48Z,1,724898.833008204,5455243.65137934,predator
A,714929.653867768,5505263.82089002,2016-11-03T10:01:13Z,1,724929.653867768,5455263.82089002,predator
A,715318.583300928,5505814.84549613,2016-11-03T12:01:19Z,1,725318.583300928,5455814.84549613,predator
A,715265.337836039,5505689.35420315,2016-11-03T14:00:56Z,1,725265.337836039,5455689.35420315,predator
A,715165.821040769,5505670.00505246,2016-11-03T16:01:28Z,1,725165.821040769,5455670.00505246,predator
A,714676.641686426,5505772.33853303,2016-11-03T18:00:48Z,1,724676.641686426,5455772.33853303,predator
A,713991.734446147,5505544.49535287,2016-11-03T20:00:57Z,1,723991.734446147,5455544.49535287,predator
A,713867.072978433,5505440.17859267,2016-11-03T22:00:54Z,1,723867.072978433,5455440.17859267,predator
A,713800.092822212,5505434.49048137,2016-11-04T00:01:23Z,1,723800.092822212,5455434.49048137,predator
A,713874.116200005,5505293.28880547,2016-11-04T02:01:33Z,1,723874.116200005,5455293.28880547,predator
A,713837.423942362,5505420.65720043,2016-11-04T04:01:24Z,1,723837.423942362,5455420.65720043,predator
A,713838.28094987,5505412.46056051,2016-11-04T06:00:48Z,1,723838.28094987,5455412.46056051,predator
A,713765.730344234,5505409.3197954,2016-11-04T08:00:55Z,1,723765.730344234,5455409.3197954,predator
A,713709.16730564,5505544.22897393,2016-11-04T10:00:58Z,1,723709.16730564,5455544.22897393,predator
A,714242.467949245,5505648.9997059,2016-11-04T12:02:16Z,1,724242.467949245,5455648.9997059,predator
A,714276.785095495,5505603.35080223,2016-11-04T14:00:48Z,1,724276.785095495,5455603.35080223,predator
A,714286.862355082,5505609.14821981,2016-11-04T16:00:41Z,1,724286.862355082,5455609.14821981,predator
A,714396.086822504,5505840.05402345,2016-11-04T18:01:04Z,1,724396.086822504,5455840.05402345,predator
A,715308.311157925,5505824.75738027,2016-11-04T20:00:51Z,1,725308.311157925,5455824.75738027,predator
A,715060.959263382,5505405.60839497,2016-11-04T22:00:45Z,1,725060.959263382,5455405.60839497,predator
A,715091.404315803,5505312.46219796,2016-11-05T00:01:44Z,1,725091.404315803,5455312.46219796,predator
A,715200.831210254,5505179.00825011,2016-11-05T02:01:42Z,1,725200.831210254,5455179.00825011,predator
A,715128.036659505,5505224.10717441,2016-11-05T04:00:36Z,1,725128.036659505,5455224.10717441,predator
A,715065.050574542,5505159.3761593,2016-11-05T06:01:07Z,1,725065.050574542,5455159.3761593,predator
A,714926.689213927,5505082.15570433,2016-11-05T08:01:16Z,1,724926.689213927,5455082.15570433,predator
A,714849.531837852,5505101.39372767,2016-11-05T10:00:42Z,1,724849.531837852,5455101.39372767,predator
A,714355.687365186,5505299.16913389,2016-11-05T12:01:19Z,1,724355.687365186,5455299.16913389,predator
A,714323.089631372,5505324.97544747,2016-11-05T14:00:48Z,1,724323.089631372,5455324.97544747,predator
A,714266.436324421,5505316.85526173,2016-11-05T16:01:57Z,1,724266.436324421,5455316.85526173,predator
A,714113.161273739,5505379.35729092,2016-11-05T18:00:52Z,1,724113.161273739,5455379.35729092,predator
A,713893.696564832,5505603.21776127,2016-11-05T20:00:47Z,1,723893.696564832,5455603.21776127,predator
A,714219.948161622,5505450.72075861,2016-11-05T22:00:35Z,1,724219.948161622,5455450.72075861,predator
A,714219.568839602,5505468.02034765,2016-11-06T00:00:54Z,1,724219.568839602,5455468.02034765,predator
A,713914.462523097,5505515.55657358,2016-11-06T02:01:06Z,1,723914.462523097,5455515.55657358,predator
A,713683.538160272,5505391.03770283,2016-11-06T04:00:54Z,1,723683.538160272,5455391.03770283,predator
