V1,ANIMAL_ID,HERD,SEX,FIX_ID,FIX_DATE,FIX_TIME,X_COORD,Y_COORD,Fix_Time_Delta,COLLAR_TYPE_CL,AGE,idate,itime,year,month,JDate
1043649,mr2009a02,MIDRIDGE,F,5276991,2010-05-01,00:01:24,-55.18717496,48.17283109,14383,GPS,255,2010-05-01,00:01:24,2010,5,121
1043650,mr2009a02,MIDRIDGE,F,5276992,2010-05-01,05:03:08,0,0,18104,GPS,255,2010-05-01,05:03:08,2010,5,121
1043651,mr2009a02,MIDRIDGE,F,5276993,2010-05-01,10:01:40,0,0,17912,GPS,255,2010-05-01,10:01:40,2010,5,121
1043652,mr2009a02,MIDRIDGE,F,5276994,2010-05-01,15:01:40,0,0,18000,GPS,255,2010-05-01,15:01:40,2010,5,121
1043653,mr2009a02,MIDRIDGE,F,5276995,2010-05-01,20:01:40,0,0,18000,GPS,255,2010-05-01,20:01:40,2010,5,121
1043654,mr2009a02,MIDRIDGE,F,5276996,2010-05-02,00:01:40,0,0,14400,GPS,255,2010-05-02,00:01:40,2010,5,122
1043655,mr2009a02,MIDRIDGE,F,5276997,2010-05-02,05:01:40,0,0,18000,GPS,255,2010-05-02,05:01:40,2010,5,122
1043656,mr2009a02,MIDRIDGE,F,5276998,2010-05-02,10:01:40,0,0,18000,GPS,255,2010-05-02,10:01:40,2010,5,122
1043657,mr2009a02,MIDRIDGE,F,5276999,2010-05-02,15:00:56,-55.19400036,48.18172382,17956,GPS,255,2010-05-02,15:00:56,2010,5,122
1043658,mr2009a02,MIDRIDGE,F,5277000,2010-05-02,20:01:36,0,0,18040,GPS,255,2010-05-02,20:01:36,2010,5,122
1043659,mr2009a02,MIDRIDGE,F,5277001,2010-05-03,00:01:36,0,0,14400,GPS,255,2010-05-03,00:01:36,2010,5,123
1043660,mr2009a02,MIDRIDGE,F,5277002,2010-05-03,05:03:04,0,0,18088,GPS,255,2010-05-03,05:03:04,2010,5,123
1043661,mr2009a02,MIDRIDGE,F,5277003,2010-05-03,10:01:36,0,0,17912,GPS,255,2010-05-03,10:01:36,2010,5,123
1043662,mr2009a02,MIDRIDGE,F,5277004,2010-05-03,15:03:04,0,0,18088,GPS,255,2010-05-03,15:03:04,2010,5,123
1043663,mr2009a02,MIDRIDGE,F,5277005,2010-05-03,20:02:23,-55.17240426,48.1876654,17959,GPS,255,2010-05-03,20:02:23,2010,5,123
1043664,mr2009a02,MIDRIDGE,F,5277006,2010-05-04,00:03:11,0,0,14448,GPS,255,2010-05-04,00:03:11,2010,5,124
1043665,mr2009a02,MIDRIDGE,F,5277007,2010-05-04,05:01:43,0,0,17912,GPS,255,2010-05-04,05:01:43,2010,5,124
1043666,mr2009a02,MIDRIDGE,F,5277008,2010-05-04,10:01:43,0,0,18000,GPS,255,2010-05-04,10:01:43,2010,5,124
1043667,mr2009a02,MIDRIDGE,F,5277009,2010-05-04,15:00:56,-55.17237687,48.18797447,17953,GPS,255,2010-05-04,15:00:56,2010,5,124
1043668,mr2009a02,MIDRIDGE,F,5277010,2010-05-04,20:00:47,-55.18909598,48.19515001,17991,GPS,255,2010-05-04,20:00:47,2010,5,124
1043669,mr2009a02,MIDRIDGE,F,5277011,2010-05-05,00:01:43,0,0,14456,GPS,255,2010-05-05,00:01:43,2010,5,125
1043670,mr2009a02,MIDRIDGE,F,5277012,2010-05-05,05:01:43,0,0,18000,GPS,255,2010-05-05,05:01:43,2010,5,125
1043671,mr2009a02,MIDRIDGE,F,5277013,2010-05-05,10:01:43,0,0,18000,GPS,255,2010-05-05,10:01:43,2010,5,125
1043672,mr2009a02,MIDRIDGE,F,5277014,2010-05-05,15:01:24,-55.19631283,48.19255403,17981,GPS,255,2010-05-05,15:01:24,2010,5,125
1043673,mr2009a02,MIDRIDGE,F,5277015,2010-05-05,20:03:08,0,0,18104,GPS,255,2010-05-05,20:03:08,2010,5,125
1043674,mr2009a02,MIDRIDGE,F,5277016,2010-05-06,00:01:40,0,0,14312,GPS,255,2010-05-06,00:01:40,2010,5,126
1043675,mr2009a02,MIDRIDGE,F,5277017,2010-05-06,05:00:48,-55.19538474,48.19218875,17948,GPS,255,2010-05-06,05:00:48,2010,5,126
1043676,mr2009a02,MIDRIDGE,F,5277018,2010-05-06,10:01:36,0,0,18048,GPS,255,2010-05-06,10:01:36,2010,5,126
1043677,mr2009a02,MIDRIDGE,F,5277019,2010-05-06,15:00:48,-55.19089994,48.18331982,17952,GPS,255,2010-05-06,15:00:48,2010,5,126
1043678,mr2009a02,MIDRIDGE,F,5277020,2010-05-06,20:00:44,-55.18521309,48.18721591,17996,GPS,255,2010-05-06,20:00:44,2010,5,126
1043679,mr2009a02,MIDRIDGE,F,5277021,2010-05-07,00:01:40,0,0,14456,GPS,255,2010-05-07,00:01:40,2010,5,127
1043680,mr2009a02,MIDRIDGE,F,5277022,2010-05-07,05:03:08,0,0,18088,GPS,255,2010-05-07,05:03:08,2010,5,127
1043681,mr2009a02,MIDRIDGE,F,5277023,2010-05-07,10:01:40,0,0,17912,GPS,255,2010-05-07,10:01:40,2010,5,127
1043682,mr2009a02,MIDRIDGE,F,5277024,2010-05-07,15:01:40,0,0,18000,GPS,255,2010-05-07,15:01:40,2010,5,127
1043683,mr2009a02,MIDRIDGE,F,5277025,2010-05-07,20:05:00,0,0,18200,GPS,255,2010-05-07,20:05:00,2010,5,127
1043684,mr2009a02,MIDRIDGE,F,5277026,2010-05-08,00:01:40,0,0,14200,GPS,255,2010-05-08,00:01:40,2010,5,128
1043685,mr2009a02,MIDRIDGE,F,5277027,2010-05-08,05:03:08,0,0,18088,GPS,255,2010-05-08,05:03:08,2010,5,128
1043686,mr2009a02,MIDRIDGE,F,5277028,2010-05-08,10:01:40,0,0,17912,GPS,255,2010-05-08,10:01:40,2010,5,128
1043687,mr2009a02,MIDRIDGE,F,5277029,2010-05-08,15:02:25,-55.23127355,48.19274698,18045,GPS,255,2010-05-08,15:02:25,2010,5,128
1043688,mr2009a02,MIDRIDGE,F,5277030,2010-05-08,20:03:05,0,0,18040,GPS,255,2010-05-08,20:03:05,2010,5,128
1043689,mr2009a02,MIDRIDGE,F,5277031,2010-05-09,00:01:37,0,0,14312,GPS,255,2010-05-09,00:01:37,2010,5,129
1043690,mr2009a02,MIDRIDGE,F,5277032,2010-05-09,05:00:54,-55.21751487,48.18637153,17957,GPS,255,2010-05-09,05:00:54,2010,5,129
1043691,mr2009a02,MIDRIDGE,F,5277033,2010-05-09,10:01:42,0,0,18048,GPS,255,2010-05-09,10:01:42,2010,5,129
