V1,ANIMAL_ID,HERD,SEX,FIX_ID,FIX_DATE,FIX_TIME,X_COORD,Y_COORD,Fix_Time_Delta,COLLAR_TYPE_CL,AGE,idate,itime,year,month,JDate
1043692,mr2009a02,MIDRIDGE,F,5277034,2010-05-09,15:01:42,0,0,18000,GPS,255,2010-05-09,15:01:42,2010,5,129
1043693,mr2009a02,MIDRIDGE,F,5277035,2010-05-09,20:03:10,0,0,18088,GPS,255,2010-05-09,20:03:10,2010,5,129
1043694,mr2009a02,MIDRIDGE,F,5277036,2010-05-10,00:01:42,0,0,14312,GPS,255,2010-05-10,00:01:42,2010,5,130
1043695,mr2009a02,MIDRIDGE,F,5277037,2010-05-10,05:01:42,0,0,18000,GPS,255,2010-05-10,05:01:42,2010,5,130
1043696,mr2009a02,MIDRIDGE,F,5277038,2010-05-10,10:01:42,0,0,18000,GPS,255,2010-05-10,10:01:42,2010,5,130
1043697,mr2009a02,MIDRIDGE,F,5277039,2010-05-10,15:01:42,0,0,18000,GPS,255,2010-05-10,15:01:42,2010,5,130
1043698,mr2009a02,MIDRIDGE,F,5277040,2010-05-10,20:01:42,0,0,18000,GPS,255,2010-05-10,20:01:42,2010,5,130
1043699,mr2009a02,MIDRIDGE,F,5277041,2010-05-11,00:03:10,0,0,14488,GPS,255,2010-05-11,00:03:10,2010,5,131
1043700,mr2009a02,MIDRIDGE,F,5277042,2010-05-11,05:01:42,0,0,17912,GPS,255,2010-05-11,05:01:42,2010,5,131
1043701,mr2009a02,MIDRIDGE,F,5277043,2010-05-11,10:01:42,0,0,18000,GPS,255,2010-05-11,10:01:42,2010,5,131
1043702,mr2009a02,MIDRIDGE,F,5277044,2010-05-11,15:01:42,0,0,18000,GPS,255,2010-05-11,15:01:42,2010,5,131
1043703,mr2009a02,MIDRIDGE,F,5277045,2010-05-11,20:03:10,0,0,18088,GPS,255,2010-05-11,20:03:10,2010,5,131
1043704,mr2009a02,MIDRIDGE,F,5277046,2010-05-12,00:01:42,0,0,14312,GPS,255,2010-05-12,00:01:42,2010,5,132
1043705,mr2009a02,MIDRIDGE,F,5277047,2010-05-12,05:02:06,-55.32268394,48.3012824,18024,GPS,255,2010-05-12,05:02:06,2010,5,132
1043706,mr2009a02,MIDRIDGE,F,5277048,2010-05-12,10:01:42,0,0,17976,GPS,255,2010-05-12,10:01:42,2010,5,132
1043707,mr2009a02,MIDRIDGE,F,5277049,2010-05-12,15:01:42,0,0,18000,GPS,255,2010-05-12,15:01:42,2010,5,132
1043708,mr2009a02,MIDRIDGE,F,5277050,2010-05-12,20:01:42,0,0,18000,GPS,255,2010-05-12,20:01:42,2010,5,132
1043709,mr2009a02,MIDRIDGE,F,5277051,2010-05-13,00:01:42,0,0,14400,GPS,255,2010-05-13,00:01:42,2010,5,133
1043710,mr2009a02,MIDRIDGE,F,5277052,2010-05-13,05:03:08,-55.30787557,48.4080958,18086,GPS,255,2010-05-13,05:03:08,2010,5,133
1043711,mr2009a02,MIDRIDGE,F,5277053,2010-05-13,10:01:41,0,0,17913,GPS,255,2010-05-13,10:01:41,2010,5,133
1043712,mr2009a02,MIDRIDGE,F,5277054,2010-05-13,15:01:41,0,0,18000,GPS,255,2010-05-13,15:01:41,2010,5,133
1043713,mr2009a02,MIDRIDGE,F,5277055,2010-05-13,20:01:41,0,0,18000,GPS,255,2010-05-13,20:01:41,2010,5,133
1043714,mr2009a02,MIDRIDGE,F,5277056,2010-05-14,00:01:41,0,0,14400,GPS,255,2010-05-14,00:01:41,2010,5,134
1043715,mr2009a02,MIDRIDGE,F,5277057,2010-05-14,05:01:41,0,0,18000,GPS,255,2010-05-14,05:01:41,2010,5,134
1043716,mr2009a02,MIDRIDGE,F,5277058,2010-05-14,10:01:41,0,0,18000,GPS,255,2010-05-14,10:01:41,2010,5,134
1043717,mr2009a02,MIDRIDGE,F,5277059,2010-05-14,15:03:09,0,0,18088,GPS,255,2010-05-14,15:03:09,2010,5,134
1043718,mr2009a02,MIDRIDGE,F,5277060,2010-05-14,20:03:09,0,0,18000,GPS,255,2010-05-14,20:03:09,2010,5,134
1043719,mr2009a02,MIDRIDGE,F,5277061,2010-05-15,00:01:41,0,0,14312,GPS,255,2010-05-15,00:01:41,2010,5,135
1043720,mr2009a02,MIDRIDGE,F,5277062,2010-05-15,05:01:18,-55.32815908,48.39414927,17977,GPS,255,2010-05-15,05:01:18,2010,5,135
1043721,mr2009a02,MIDRIDGE,F,5277063,2010-05-15,10:01:42,0,0,18024,GPS,255,2010-05-15,10:01:42,2010,5,135
1043722,mr2009a02,MIDRIDGE,F,5277064,2010-05-15,15:01:42,0,0,18000,GPS,255,2010-05-15,15:01:42,2010,5,135
1043723,mr2009a02,MIDRIDGE,F,5277065,2010-05-15,20:01:42,0,0,18000,GPS,255,2010-05-15,20:01:42,2010,5,135
1043724,mr2009a02,MIDRIDGE,F,5277066,2010-05-16,00:01:42,0,0,14400,GPS,255,2010-05-16,00:01:42,2010,5,136
1043725,mr2009a02,MIDRIDGE,F,5277067,2010-05-16,05:01:42,0,0,18000,GPS,255,2010-05-16,05:01:42,2010,5,136
1043726,mr2009a02,MIDRIDGE,F,5277068,2010-05-16,10:03:10,0,0,18088,GPS,255,2010-05-16,10:03:10,2010,5,136
1043727,mr2009a02,MIDRIDGE,F,5277069,2010-05-16,15:01:42,0,0,17912,GPS,255,2010-05-16,15:01:42,2010,5,136
1043728,mr2009a02,MIDRIDGE,F,5277070,2010-05-16,20:03:10,0,0,18088,GPS,255,2010-05-16,20:03:10,2010,5,136
1043729,mr2009a02,MIDRIDGE,F,5277071,2010-05-17,00:01:42,0,0,14312,GPS,255,2010-05-17,00:01:42,2010,5,137
1043730,mr2009a02,MIDRIDGE,F,5277072,2010-05-17,05:01:42,0,0,18000,GPS,255,2010-05-17,05:01:42,2010,5,137
1043731,mr2009a02,MIDRIDGE,F,5277073,2010-05-17,10:03:10,0,0,18088,GPS,255,2010-05-17,10:03:10,2010,5,137
1043732,mr2009a02,MIDRIDGE,F,5277074,2010-05-17,15:01:42,0,0,17912,GPS,255,2010-05-17,15:01:42,2010,5,137
1043733,mr2009a02,MIDRIDGE,F,5277075,2010-05-17,20:01:42,0,0,18000,GPS,255,2010-05-17,20:01:42,2010,5,137
1043734,mr2009a02,MIDRIDGE,F,5277076,2010-05-18,00:01:42,0,0,14400,GPS,255,2010-05-18,00:01:42,2010,5,138
1043735,mr2009a02,MIDRIDGE,F,5277077,2010-05-18,05:01:42,0,0,18000,GPS,255,2010-05-18,05:01:42,2010,5,138
1043736,mr2009a02,MIDRIDGE,F,5277078,2010-05-18,10:01:42,0,0,18000,GPS,255,2010-05-18,10:01:42,2010,5,138
1043737,mr2009a02,MIDRIDGE,F,5277079,2010-05-18,15:01:42,0,0,18000,GPS,255,2010-05-18,15:01:42,2010,5,138
1043738,mr2009a02,MIDRIDGE,F,5277080,2010-05-18,20:03:10,0,0,18088,GPS,255,2010-05-18,20:03:10,2010,5,138
1043739,mr2009a02,MIDRIDGE,F,5277081,2010-05-19,00:00:56,-55.3170391,48.3228931,14266,GPS,255,2010-05-19,00:00:56,2010,5,139
1043740,mr2009a02,MIDRIDGE,F,5277082,2010-05-19,05:03:04,0,0,18128,GPS,255,2010-05-19,05:03:04,2010,5,139
1043741,mr2009a02,MIDRIDGE,F,5277083,2010-05-19,10:00:56,-55.30028598,48.2810991,17872,GPS,255,2010-05-19,10:00:56,2010,5,139
1043742,mr2009a02,MIDRIDGE,F,5277084,2010-05-19,15:03:04,0,0,18128,GPS,255,2010-05-19,15:03:04,2010,5,139
1043743,mr2009a02,MIDRIDGE,F,5277085,2010-05-19,20:01:36,0,0,17912,GPS,255,2010-05-19,20:01:36,2010,5,139
1043744,mr2009a02,MIDRIDGE,F,5277086,2010-05-20,00:00:56,-55.25056675,48.24785377,14360,GPS,255,2010-05-20,00:00:56,2010,5,140
1043745,mr2009a02,MIDRIDGE,F,5277087,2010-05-20,05:00:54,-55.25470937,48.24202008,17998,GPS,255,2010-05-20,05:00:54,2010,5,140
1043746,mr2009a02,MIDRIDGE,F,5277088,2010-05-20,10:01:42,0,0,18048,GPS,255,2010-05-20,10:01:42,2010,5,140
1043747,mr2009a02,MIDRIDGE,F,5277089,2010-05-20,15:00:49,-55.25710023,48.22295919,17947,GPS,255,2010-05-20,15:00:49,2010,5,140
1043748,mr2009a02,MIDRIDGE,F,5277090,2010-05-20,20:01:37,0,0,18048,GPS,255,2010-05-20,20:01:37,2010,5,140
1043749,mr2009a02,MIDRIDGE,F,5277091,2010-05-21,00:03:05,0,0,14488,GPS,255,2010-05-21,00:03:05,2010,5,141
1043750,mr2009a02,MIDRIDGE,F,5277092,2010-05-21,02:00:41,-55.2658655,48.21049374,7056,GPS,255,2010-05-21,02:00:41,2010,5,141
1043751,mr2009a02,MIDRIDGE,F,5277093,2010-05-21,04:01:25,-55.26583056,48.21049467,7244,GPS,255,2010-05-21,04:01:25,2010,5,141
1043752,mr2009a02,MIDRIDGE,F,5277094,2010-05-21,06:01:41,0,0,7216,GPS,255,2010-05-21,06:01:41,2010,5,141
1043753,mr2009a02,MIDRIDGE,F,5277095,2010-05-21,08:01:41,0,0,7200,GPS,255,2010-05-21,08:01:41,2010,5,141
1043754,mr2009a02,MIDRIDGE,F,5277096,2010-05-21,10:01:41,0,0,7200,GPS,255,2010-05-21,10:01:41,2010,5,141
1043755,mr2009a02,MIDRIDGE,F,5277097,2010-05-21,12:03:09,0,0,7288,GPS,255,2010-05-21,12:03:09,2010,5,141
1043756,mr2009a02,MIDRIDGE,F,5277098,2010-05-21,14:01:41,0,0,7112,GPS,255,2010-05-21,14:01:41,2010,5,141
1043757,mr2009a02,MIDRIDGE,F,5277099,2010-05-21,16:01:12,-55.26862718,48.18346496,7171,GPS,255,2010-05-21,16:01:12,2010,5,141
1043758,mr2009a02,MIDRIDGE,F,5277100,2010-05-21,18:03:04,0,0,7312,GPS,255,2010-05-21,18:03:04,2010,5,141
1043759,mr2009a02,MIDRIDGE,F,5277101,2010-05-21,20:01:23,-55.25961928,48.18091466,7099,GPS,255,2010-05-21,20:01:23,2010,5,141
1043760,mr2009a02,MIDRIDGE,F,5277102,2010-05-21,22:01:39,0,0,7216,GPS,255,2010-05-21,22:01:39,2010,5,141
1043761,mr2009a02,MIDRIDGE,F,5277103,2010-05-22,00:01:14,-55.24583371,48.18199691,7175,GPS,255,2010-05-22,00:01:14,2010,5,142
1043762,mr2009a02,MIDRIDGE,F,5277104,2010-05-22,02:03:06,0,0,7312,GPS,255,2010-05-22,02:03:06,2010,5,142
1043763,mr2009a02,MIDRIDGE,F,5277105,2010-05-22,04:01:47,-55.24576881,48.18307699,7121,GPS,255,2010-05-22,04:01:47,2010,5,142
1043764,mr2009a02,MIDRIDGE,F,5277106,2010-05-22,06:01:39,0,0,7192,GPS,255,2010-05-22,06:01:39,2010,5,142
1043765,mr2009a02,MIDRIDGE,F,5277107,2010-05-22,08:01:17,-55.24518845,48.18330717,7178,GPS,255,2010-05-22,08:01:17,2010,5,142
1043766,mr2009a02,MIDRIDGE,F,5277108,2010-05-22,10:01:41,0,0,7224,GPS,255,2010-05-22,10:01:41,2010,5,142
1043767,mr2009a02,MIDRIDGE,F,5277109,2010-05-22,12:02:24,-55.24552891,48.18312022,7243,GPS,255,2010-05-22,12:02:24,2010,5,142
1043768,mr2009a02,MIDRIDGE,F,5277110,2010-05-22,14:00:54,-55.23939195,48.18285732,7110,GPS,255,2010-05-22,14:00:54,2010,5,142
1043769,mr2009a02,MIDRIDGE,F,5277111,2010-05-22,16:01:42,0,0,7248,GPS,255,2010-05-22,16:01:42,2010,5,142
1043770,mr2009a02,MIDRIDGE,F,5277112,2010-05-22,18:01:42,0,0,7200,GPS,255,2010-05-22,18:01:42,2010,5,142
1043771,mr2009a02,MIDRIDGE,F,5277113,2010-05-22,20:03:10,0,0,7288,GPS,255,2010-05-22,20:03:10,2010,5,142
1043772,mr2009a02,MIDRIDGE,F,5277114,2010-05-22,22:00:53,-55.2296295,48.17919839,7063,GPS,255,2010-05-22,22:00:53,2010,5,142
1043773,mr2009a02,MIDRIDGE,F,5277115,2010-05-23,00:00:36,-55.2292142,48.17766127,7183,GPS,255,2010-05-23,00:00:36,2010,5,143
1043774,mr2009a02,MIDRIDGE,F,5277116,2010-05-23,02:01:52,-55.22258025,48.16687928,7276,GPS,255,2010-05-23,02:01:52,2010,5,143
1043775,mr2009a02,MIDRIDGE,F,5277117,2010-05-23,04:00:48,-55.20918053,48.15519997,7136,GPS,255,2010-05-23,04:00:48,2010,5,143
1043776,mr2009a02,MIDRIDGE,F,5277118,2010-05-23,06:00:55,-55.20897791,48.15496207,7207,GPS,255,2010-05-23,06:00:55,2010,5,143
1043777,mr2009a02,MIDRIDGE,F,5277119,2010-05-23,08:00:48,-55.20775958,48.14494765,7193,GPS,255,2010-05-23,08:00:48,2010,5,143
1043778,mr2009a02,MIDRIDGE,F,5277120,2010-05-23,10:01:36,0,0,7248,GPS,255,2010-05-23,10:01:36,2010,5,143
1043779,mr2009a02,MIDRIDGE,F,5277121,2010-05-23,12:01:36,0,0,7200,GPS,255,2010-05-23,12:01:36,2010,5,143
1043780,mr2009a02,MIDRIDGE,F,5277122,2010-05-23,14:01:36,0,0,7200,GPS,255,2010-05-23,14:01:36,2010,5,143
1043781,mr2009a02,MIDRIDGE,F,5277123,2010-05-23,16:01:30,-55.1958572,48.13891287,7194,GPS,255,2010-05-23,16:01:30,2010,5,143
1043782,mr2009a02,MIDRIDGE,F,5277124,2010-05-23,18:01:43,0,0,7213,GPS,255,2010-05-23,18:01:43,2010,5,143
1043783,mr2009a02,MIDRIDGE,F,5277125,2010-05-23,20:01:43,0,0,7200,GPS,255,2010-05-23,20:01:43,2010,5,143
1043784,mr2009a02,MIDRIDGE,F,5277126,2010-05-23,22:01:43,0,0,7200,GPS,255,2010-05-23,22:01:43,2010,5,143
1043785,mr2009a02,MIDRIDGE,F,5277127,2010-05-24,00:01:43,0,0,7200,GPS,255,2010-05-24,00:01:43,2010,5,144
1043786,mr2009a02,MIDRIDGE,F,5277128,2010-05-24,02:00:54,-55.19387679,48.14464364,7151,GPS,255,2010-05-24,02:00:54,2010,5,144
1043787,mr2009a02,MIDRIDGE,F,5277129,2010-05-24,04:01:42,0,0,7248,GPS,255,2010-05-24,04:01:42,2010,5,144
1043788,mr2009a02,MIDRIDGE,F,5277130,2010-05-24,06:00:54,-55.20235465,48.14360053,7152,GPS,255,2010-05-24,06:00:54,2010,5,144
1043789,mr2009a02,MIDRIDGE,F,5277131,2010-05-24,08:01:42,0,0,7248,GPS,255,2010-05-24,08:01:42,2010,5,144
1043790,mr2009a02,MIDRIDGE,F,5277132,2010-05-24,10:01:17,-55.21160284,48.14116812,7175,GPS,255,2010-05-24,10:01:17,2010,5,144
1043791,mr2009a02,MIDRIDGE,F,5277133,2010-05-24,12:00:53,-55.21134609,48.13616267,7176,GPS,255,2010-05-24,12:00:53,2010,5,144
1043792,mr2009a02,MIDRIDGE,F,5277134,2010-05-24,14:00:54,-55.21034306,48.13622397,7201,GPS,255,2010-05-24,14:00:54,2010,5,144
1043793,mr2009a02,MIDRIDGE,F,5277135,2010-05-24,16:01:42,0,0,7248,GPS,255,2010-05-24,16:01:42,2010,5,144
1043794,mr2009a02,MIDRIDGE,F,5277136,2010-05-24,18:01:48,-55.21337141,48.13574201,7206,GPS,255,2010-05-24,18:01:48,2010,5,144
1043795,mr2009a02,MIDRIDGE,F,5277137,2010-05-24,20:01:40,0,0,7192,GPS,255,2010-05-24,20:01:40,2010,5,144
1043796,mr2009a02,MIDRIDGE,F,5277138,2010-05-24,22:01:40,0,0,7200,GPS,255,2010-05-24,22:01:40,2010,5,144
1043797,mr2009a02,MIDRIDGE,F,5277139,2010-05-25,00:00:53,-55.21376713,48.13402148,7153,GPS,255,2010-05-25,00:00:53,2010,5,145
1043798,mr2009a02,MIDRIDGE,F,5277140,2010-05-25,02:00:53,-55.21372106,48.1346061,7200,GPS,255,2010-05-25,02:00:53,2010,5,145
1043799,mr2009a02,MIDRIDGE,F,5277141,2010-05-25,04:03:09,-55.21442875,48.13515432,7336,GPS,255,2010-05-25,04:03:09,2010,5,145
1043800,mr2009a02,MIDRIDGE,F,5277142,2010-05-25,06:01:30,-55.21271738,48.1351973,7101,GPS,255,2010-05-25,06:01:30,2010,5,145
1043801,mr2009a02,MIDRIDGE,F,5277143,2010-05-25,08:00:54,-55.21337526,48.13843125,7164,GPS,255,2010-05-25,08:00:54,2010,5,145
1043802,mr2009a02,MIDRIDGE,F,5277144,2010-05-25,10:03:10,0,0,7336,GPS,255,2010-05-25,10:03:10,2010,5,145
1043803,mr2009a02,MIDRIDGE,F,5277145,2010-05-25,12:00:56,-55.24982749,48.14783583,7066,GPS,255,2010-05-25,12:00:56,2010,5,145
1043804,mr2009a02,MIDRIDGE,F,5277146,2010-05-25,14:01:19,-55.24016013,48.14747992,7223,GPS,255,2010-05-25,14:01:19,2010,5,145
1043805,mr2009a02,MIDRIDGE,F,5277147,2010-05-25,16:00:56,-55.23786079,48.14707137,7177,GPS,255,2010-05-25,16:00:56,2010,5,145
1043806,mr2009a02,MIDRIDGE,F,5277148,2010-05-25,18:01:36,0,0,7240,GPS,255,2010-05-25,18:01:36,2010,5,145
1043807,mr2009a02,MIDRIDGE,F,5277149,2010-05-25,20:02:47,-55.22899662,48.14232749,7271,GPS,255,2010-05-25,20:02:47,2010,5,145
1043808,mr2009a02,MIDRIDGE,F,5277150,2010-05-25,22:01:43,0,0,7136,GPS,255,2010-05-25,22:01:43,2010,5,145
1043809,mr2009a02,MIDRIDGE,F,5277151,2010-05-26,00:03:11,0,0,7288,GPS,255,2010-05-26,00:03:11,2010,5,146
1043810,mr2009a02,MIDRIDGE,F,5277152,2010-05-26,02:01:43,0,0,7112,GPS,255,2010-05-26,02:01:43,2010,5,146
1043811,mr2009a02,MIDRIDGE,F,5277153,2010-05-26,04:01:43,0,0,7200,GPS,255,2010-05-26,04:01:43,2010,5,146
1043812,mr2009a02,MIDRIDGE,F,5277154,2010-05-26,06:01:24,-55.21529437,48.13535777,7181,GPS,255,2010-05-26,06:01:24,2010,5,146
1043813,mr2009a02,MIDRIDGE,F,5277155,2010-05-26,08:01:40,0,0,7216,GPS,255,2010-05-26,08:01:40,2010,5,146
1043814,mr2009a02,MIDRIDGE,F,5277156,2010-05-26,10:03:08,0,0,7288,GPS,255,2010-05-26,10:03:08,2010,5,146
1043815,mr2009a02,MIDRIDGE,F,5277157,2010-05-26,12:01:40,0,0,7112,GPS,255,2010-05-26,12:01:40,2010,5,146
1043816,mr2009a02,MIDRIDGE,F,5277158,2010-05-26,14:03:08,0,0,7288,GPS,255,2010-05-26,14:03:08,2010,5,146
1043817,mr2009a02,MIDRIDGE,F,5277159,2010-05-26,16:01:40,0,0,7112,GPS,255,2010-05-26,16:01:40,2010,5,146
1043818,mr2009a02,MIDRIDGE,F,5277160,2010-05-26,18:00:54,-55.20649166,48.13649001,7154,GPS,255,2010-05-26,18:00:54,2010,5,146
1043819,mr2009a02,MIDRIDGE,F,5277161,2010-05-26,20:01:42,0,0,7248,GPS,255,2010-05-26,20:01:42,2010,5,146
1043820,mr2009a02,MIDRIDGE,F,5277162,2010-05-26,22:01:53,-55.21174005,48.13580531,7211,GPS,255,2010-05-26,22:01:53,2010,5,146
1043821,mr2009a02,MIDRIDGE,F,5277163,2010-05-27,00:00:54,-55.21201991,48.13875373,7141,GPS,255,2010-05-27,00:00:54,2010,5,147
1043822,mr2009a02,MIDRIDGE,F,5277164,2010-05-27,02:00:42,-55.21230031,48.13935817,7188,GPS,255,2010-05-27,02:00:42,2010,5,147
1043823,mr2009a02,MIDRIDGE,F,5277165,2010-05-27,04:00:48,-55.20912098,48.14316708,7206,GPS,255,2010-05-27,04:00:48,2010,5,147
1043824,mr2009a02,MIDRIDGE,F,5277166,2010-05-27,06:00:54,-55.2090931,48.14309865,7206,GPS,255,2010-05-27,06:00:54,2010,5,147
1043825,mr2009a02,MIDRIDGE,F,5277167,2010-05-27,08:01:42,0,0,7248,GPS,255,2010-05-27,08:01:42,2010,5,147
1043826,mr2009a02,MIDRIDGE,F,5277168,2010-05-27,10:01:42,0,0,7200,GPS,255,2010-05-27,10:01:42,2010,5,147
1043827,mr2009a02,MIDRIDGE,F,5277169,2010-05-27,12:01:42,0,0,7200,GPS,255,2010-05-27,12:01:42,2010,5,147
1043828,mr2009a02,MIDRIDGE,F,5277170,2010-05-27,14:01:42,0,0,7200,GPS,255,2010-05-27,14:01:42,2010,5,147
1043829,mr2009a02,MIDRIDGE,F,5277171,2010-05-27,16:03:10,0,0,7288,GPS,255,2010-05-27,16:03:10,2010,5,147
1043830,mr2009a02,MIDRIDGE,F,5277172,2010-05-27,18:00:54,-55.2087857,48.14986585,7064,GPS,255,2010-05-27,18:00:54,2010,5,147
1043831,mr2009a02,MIDRIDGE,F,5277173,2010-05-27,20:01:42,0,0,7248,GPS,255,2010-05-27,20:01:42,2010,5,147
1043832,mr2009a02,MIDRIDGE,F,5277174,2010-05-27,22:01:42,0,0,7200,GPS,255,2010-05-27,22:01:42,2010,5,147
