event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,height-raw,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone
768944108,true,2014-08-02 05:00:00.000,34.9628226,32.770674,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",683846.5901850488,3627569.2439498343,"36N"
768944109,true,2014-08-02 05:30:00.000,34.9819217,32.7605595,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685656.7965381262,3626481.063364225,"36N"
768944110,true,2014-08-02 06:00:00.000,34.9880992,32.7589993,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",686238.821163568,3626318.9175331444,"36N"
768944111,true,2014-08-02 06:30:00.000,34.9880853,32.7590017,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",686237.5138388466,3626319.1591919656,"36N"
768944112,true,2014-08-02 07:01:00.000,34.9879751,32.7590207,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",686227.1493527768,3626321.072051663,"36N"
768944113,true,2014-08-02 07:31:00.000,34.9852054,32.7606437,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685964.2738353927,3626496.165576082,"36N"
768944114,true,2014-08-02 08:01:00.000,34.9868909,32.7615686,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",686120.2643022145,3626601.6851657387,"36N"
768944115,true,2014-08-02 08:31:00.000,34.9873158,32.7607448,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",686161.7883135666,3626511.0865940526,"36N"
768944116,true,2014-08-02 12:00:00.000,34.9873228,32.7607968,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",686162.335881206,3626516.8648608117,"36N"
768944117,true,2014-08-02 21:02:00.000,34.980028,32.7743469,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685450.7685327264,3628006.539082508,"36N"
768944118,true,2014-08-02 21:30:00.000,34.9801172,32.7750819,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685457.5991152406,3628088.1949945968,"36N"
768944119,true,2014-08-02 22:00:00.000,34.9801435,32.7752717,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685459.6688798489,3628109.286835187,"36N"
768944120,true,2014-08-02 22:30:00.000,34.9800787,32.7750834,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685453.9894970413,3628088.293821144,"36N"
768944121,true,2014-08-02 23:00:00.000,34.980098,32.775113,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685455.7360048244,3628091.6098162015,"36N"
768944122,true,2014-08-02 23:30:00.000,34.9801032,32.7750994,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685456.2513410915,3628090.110914406,"36N"
768944123,true,2014-08-03 00:00:00.000,34.9801032,32.7750994,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685456.2513410915,3628090.110914406,"36N"
768944124,true,2014-08-03 00:30:00.000,34.9800613,32.775089,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685452.3479226299,3628088.8842643336,"36N"
768944125,true,2014-08-03 01:00:00.000,34.9800525,32.7751362,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685451.4256271351,3628094.1025477336,"36N"
768944126,true,2014-08-03 01:30:00.000,34.9800682,32.7750651,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685453.0438819319,3628086.246240533,"36N"
768944127,true,2014-08-03 02:00:00.000,34.9798864,32.7751146,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685435.9109643463,3628091.416268129,"36N"
768944128,true,2014-08-03 02:31:00.000,34.9800577,32.7750923,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685452.003842678,3628089.243869122,"36N"
768944129,true,2014-08-03 03:00:00.000,34.9800543,32.7749916,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685451.8943229745,3628078.071918125,"36N"
768944130,true,2014-08-03 03:30:00.000,34.979986,32.7750795,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685445.313875156,3628087.6988564124,"36N"
768944131,true,2014-08-03 04:01:00.000,34.9794929,32.7750011,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685399.2851604134,3628078.141217572,"36N"
768944132,true,2014-08-03 04:30:00.000,34.9800822,32.7751234,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685454.2343501783,3628092.7353060627,"36N"
768944133,true,2014-08-03 05:00:00.000,34.980105,32.7751952,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685456.2211430795,3628100.7367304713,"36N"
768944134,true,2014-08-03 05:30:00.000,34.9847323,32.7746264,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685890.8684978543,3628045.7882169005,"36N"
768944135,true,2014-08-03 06:01:00.000,,,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",,,
768944136,true,2014-08-03 06:30:00.000,34.9845225,32.7743903,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685871.7063276831,3628019.2398784463,"36N"
768944137,true,2014-08-03 07:01:00.000,34.9845207,32.7742945,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685871.7369637389,3628008.6140447613,"36N"
768944138,true,2014-08-03 07:30:00.000,34.9844875,32.7743409,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685868.5304023346,3628013.700718472,"36N"
768944139,true,2014-08-03 08:01:00.000,34.9844997,32.7744247,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685869.4989606686,3628023.014219978,"36N"
768944140,true,2014-08-03 08:31:00.000,34.9844945,32.7743928,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685869.0781918463,3628019.4678888707,"36N"
768944141,true,2014-08-03 12:01:00.000,,,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",,,
768944142,true,2014-08-03 21:01:00.000,34.9715795,32.7742219,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",684659.6040154307,3627977.8988943626,"36N"
768944143,true,2014-08-03 21:30:00.000,34.974325,32.7752368,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",684914.6919706743,3628095.2306213975,"36N"
768944144,true,2014-08-03 22:00:00.000,34.9800525,32.7751362,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685451.4256271351,3628094.1025477336,"36N"
768944145,true,2014-08-03 22:30:00.000,34.9801732,32.7749254,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685463.1697356811,3628070.9398754146,"36N"
768944146,true,2014-08-03 23:01:00.000,34.980098,32.7750675,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685455.8304305272,3628086.564607049,"36N"
768944147,true,2014-08-03 23:31:00.000,,,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",,,
768944148,true,2014-08-04 00:00:00.000,34.980077,32.774942,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685454.1236910529,3628072.611883275,"36N"
768944149,true,2014-08-04 00:30:00.000,34.9802588,32.775042,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685470.946371734,3628084.019001568,"36N"
768944150,true,2014-08-04 01:00:00.000,34.980028,32.7750899,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685449.2266623335,3628088.9256789694,"36N"
768944151,true,2014-08-04 01:30:00.000,34.9800682,32.7750802,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685453.0125455374,3628087.9205846526,"36N"
768944152,true,2014-08-04 02:00:00.000,34.9801032,32.7750994,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685456.2513410915,3628090.110914406,"36N"
768944153,true,2014-08-04 02:30:00.000,34.9800735,32.7750666,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685453.537249077,3628086.4218580523,"36N"
768944154,true,2014-08-04 03:00:00.000,34.9800787,32.7750682,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685454.0210411317,3628086.6083886474,"36N"
768944155,true,2014-08-04 03:30:00.000,34.9799948,32.7752424,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685445.8001714456,3628105.777241241,"36N"
768944156,true,2014-08-04 04:00:00.000,34.9800962,32.7750626,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685455.6719835738,3628086.0181210376,"36N"
768944157,true,2014-08-04 04:30:00.000,34.9815285,32.7745318,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685590.945753267,3628029.6730704973,"36N"
768944158,true,2014-08-04 05:00:00.000,34.9801085,32.7750706,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685456.80758961,3628086.9267554437,"36N"
768944159,true,2014-08-04 05:30:00.000,34.9800927,32.7750811,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685455.3057266393,3628088.0633335435,"36N"
768944160,true,2014-08-04 06:00:00.000,34.9800927,32.7750811,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685455.3057266393,3628088.0633335435,"36N"
768944161,true,2014-08-04 06:30:00.000,34.9801085,32.7750555,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685456.8389266348,3628085.2524113087,"36N"
768944162,true,2014-08-04 07:01:00.000,34.980035,32.775157,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685449.7431428398,3628096.3782484806,"36N"
768944163,true,2014-08-04 07:30:00.000,34.9800437,32.7752137,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685450.4404526362,3628102.680607864,"36N"
768944164,true,2014-08-04 08:00:00.000,34.9797867,32.7750436,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685426.718847163,3628083.3687516344,"36N"
768944165,true,2014-08-04 08:31:00.000,34.9801224,32.7750532,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685458.1457891723,3628085.021748743,"36N"
768944166,true,2014-08-04 12:00:00.000,34.9799475,32.7751546,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685441.5515273397,3628095.95872878,"36N"
768944167,true,2014-08-04 21:01:00.000,,,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",,,
768944168,true,2014-08-04 21:31:00.000,35.0052875,32.753014,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",687861.812822926,3625685.622780068,"36N"
768944169,true,2014-08-04 22:00:00.000,34.9998679,32.7564199,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",687346.8659896336,3626053.676042478,"36N"
768944170,true,2014-08-04 22:31:00.000,34.9920805,32.7587399,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",686612.3807554482,3626297.167849552,"36N"
768944171,true,2014-08-04 23:00:00.000,34.9880206,32.7588676,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",686231.7312210447,3626304.175828923,"36N"
768944172,true,2014-08-04 23:30:00.000,34.9822504,32.7611367,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685686.3939906225,3626545.642082406,"36N"
768944173,true,2014-08-05 00:01:00.000,34.9777084,32.7682104,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685246.1955169276,3627322.037726859,"36N"
768944174,true,2014-08-05 00:30:00.000,34.9797727,32.7748509,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685425.8072313083,3628061.976920283,"36N"
768944175,true,2014-08-05 01:00:00.000,34.9800455,32.7751601,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685450.72030111,3628096.7403963143,"36N"
768944176,true,2014-08-05 01:30:00.000,34.9801487,32.7748639,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685461.0023157352,3628064.077571691,"36N"
768944177,true,2014-08-05 02:00:00.000,34.9801435,32.7750746,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685460.0779298771,3628087.431653931,"36N"
768944178,true,2014-08-05 02:30:00.000,34.9800577,32.7751074,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685451.972506427,3628090.9182132445,"36N"
768944179,true,2014-08-05 03:00:00.000,34.980077,32.7751219,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685453.7503509088,3628092.559863814,"36N"
768944180,true,2014-08-05 03:30:00.000,34.980091,32.7751065,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685455.0937661635,3628090.876799501,"36N"
768944181,true,2014-08-05 04:00:00.000,34.9800857,32.7750898,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685454.6319434895,3628089.0157493884,"36N"
768944182,true,2014-08-05 04:30:00.000,34.9801102,32.775121,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685456.8622426308,3628092.5182753294,"36N"
768944183,true,2014-08-05 05:01:00.000,34.9799266,32.7751202,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685439.6650957388,3628092.107689641,"36N"
768944184,true,2014-08-05 05:30:00.000,34.9800805,32.7751034,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685454.1166074299,3628090.5146512585,"36N"
768944185,true,2014-08-05 06:00:00.000,34.9801155,32.7750619,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685457.4813731033,3628085.9743397348,"36N"
768944186,true,2014-08-05 06:30:00.000,34.9800682,32.7750802,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685453.0125455374,3628087.9205846526,"36N"
768944187,true,2014-08-05 07:00:00.000,34.9800682,32.7750802,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685453.0125455374,3628087.9205846526,"36N"
768944188,true,2014-08-05 07:30:00.000,34.9801557,32.7750523,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685461.267050912,3628084.9803368584,"36N"
768944189,true,2014-08-05 08:00:00.000,34.9802799,32.7750179,,,"gps",,"10881","H2","Striped hyenas Carmel Israel",685472.9729439663,3628081.38370003,"36N"
